,name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,room_Entire home/apt,room_Hotel room,room_Private room,room_Shared room,price_category,review_day,review_month,review_year
0,Nice room with superb city view,Nuttee,Ratchathewi,13.75983,100.54134,Entire home/apt,1905,3,65,2,353,True,False,False,False,Medium,6,1,2020
1,"Easy going landlord,easy place",Emy,Bang Na,13.66818,100.61674,Private room,1316,1,0,2,358,False,False,True,False,Medium,11,12,2022
3,Spacious one bedroom at The Kris Condo Bldg. 3,Sirilak,Din Daeng,13.78823,100.57256,Private room,1286,7,2,1,323,False,False,True,False,Medium,1,4,2022
4,Suite Room 3 at MetroPoint,Kasem,Bang Kapi,13.76872,100.63338,Private room,1905,1,0,3,365,False,False,True,False,Medium,11,12,2022
6,Condo with Chaopraya River View,Athitaya,Rat Burana,13.68556,100.49535,Private room,1558,3,1,1,365,False,False,True,False,Medium,3,2,2014
7,1 chic bedroom apartment in BKK,Jiraporn,Chatu Chak,13.82925,100.56737,Entire home/apt,1461,1,0,1,365,True,False,False,False,Medium,11,12,2022
8,"Batcave, Pool view, near Chatuchak",Nol,Chatu Chak,13.81693,100.56433,Entire home/apt,1558,3,10,1,365,True,False,False,False,Medium,29,3,2016
9,Standard Room Decor do Hostel,Somsak,Khlong San,13.7204,100.50757,Private room,700,2,4,10,87,False,False,True,False,Low,27,12,2019
10,Sathorn Terrace Apartment(61),Tor,Bang Rak,13.71934,100.5176,Private room,1150,2,27,7,320,False,False,True,False,Medium,3,1,2019
11,2BR apt in a cozy neighborhood,Jing,Phaya Thai,13.77486,100.54272,Entire home/apt,1893,15,129,1,356,True,False,False,False,Medium,30,9,2022
12,Comfy bedroom near River pier & BTS  Taksin.,Tor,Sathon,13.71802,100.51539,Hotel room,1862,2,208,7,361,False,True,False,False,Medium,2,12,2019
13,budget hotel bangkok near subway,Mimi,Din Daeng,13.77941,100.57383,Entire home/apt,910,2,3,2,365,True,False,False,False,Low,30,7,2018
15,Luxury@swimpool/FreeWiFi/nearJJMkt,Srisuk,Phaya Thai,13.79152,100.53982,Private room,4156,1,0,1,365,False,False,True,False,High,11,12,2022
17,"24Flr- 1br Apt near JJ, MRT, BTS",Sue,Chatu Chak,13.82298,100.56484,Entire home/apt,122594,2,9,6,180,True,False,False,False,High,4,3,2020
20,"New, Stylish & Luxury Studio Condo",Pat,Sai Mai,13.9077,100.64473,Private room,1500,1,0,1,365,False,False,True,False,Medium,11,12,2022
24,Pan Dao Condo 5 min from BTS On Nut,Dustin,Khlong Toei,13.70441,100.59968,Entire home/apt,1732,2,3,1,364,True,False,False,False,Medium,9,10,2013
26,1 penthouse in central Bangkok,Anya,Ratchathewi,13.7547,100.53268,Entire home/apt,3082,1,0,1,365,True,False,False,False,High,11,12,2022
27,"MetroPoint Suite Room, Near Airport",Kasem,Bang Kapi,13.76747,100.63287,Private room,1190,1,0,3,365,False,False,True,False,Medium,11,12,2022
28,Boutique Rooms Near Bangkok Airport,Parinya,Lat Krabang,13.721868,100.771713,Private room,1329,1,28,1,349,False,False,True,False,Medium,25,11,2022
29,BangLuang House1 @ Bangkok Thailand,วสวัตติ์,Bangkok Yai,13.73292,100.46413,Private room,2078,1,76,3,350,False,False,True,False,High,31,12,2019
30,Studio near Chula University/Silom walk to MRT/BTS,Gael,Bang Rak,13.7285,100.52313,Entire home/apt,1176,7,63,2,95,True,False,False,False,Medium,25,11,2022
31,กรองทองแมนชั่น (ลาดพร้าว 81),Penjit,Wang Thong Lang,13.78938,100.6134,Private room,600,1,0,1,365,False,False,True,False,Low,11,12,2022
32,Deluxe one Bedroom Condo w.Pool-GYM & Sauna 8-7,Gerd,Vadhana,13.74293,100.55603,Entire home/apt,1659,3,212,3,207,True,False,False,False,Medium,8,12,2022
33,Beautiful 1 BR apartment @BTS Ari,Nattavut,Phaya Thai,13.77931,100.54262,Entire home/apt,1400,15,90,4,336,True,False,False,False,Medium,15,11,2022
34,Urban Oasis in the heart of Bangkok,Apiradee,Sathon,13.72291,100.53759,Entire home/apt,5429,2,3,3,174,True,False,False,False,High,18,12,2018
35,1Bed apt. near Chula University/Silom,Gael,Bang Rak,13.72733,100.52555,Entire home/apt,1843,7,71,2,156,True,False,False,False,Medium,30,11,2022
36,Stay at the ROARING RATCHADA!,Frances,Huai Khwang,13.78118,100.58349,Private room,1316,1,0,1,365,False,False,True,False,Medium,11,12,2022
37,"60 m2 apartment in Thong Lor, Bangkok",Danny,Vadhana,13.73224,100.57803,Entire home/apt,1870,4,5,1,331,True,False,False,False,Medium,10,11,2019
41,❂☀☀☀Perfect Escape☀☀☀Sunny Roof EnSuite☀☀☀☀,Evan,Sathon,13.72062,100.54707,Entire home/apt,1200,1,419,37,355,True,False,False,False,Medium,7,12,2022
42,Room with city view of BKK,Apiradee,Sathon,13.71803,100.54654,Private room,3500,3,0,3,363,False,False,True,False,High,11,12,2022
43,BangLuang House 2@ Bangkok Thailand,วสวัตติ์,Phasi Charoen,13.73122,100.46228,Entire home/apt,1795,1,95,3,339,True,False,False,False,Medium,15,12,2022
44,Tranquility found in busy Bangkok near new skytran,Rae And Charlie,Bang Sue,13.83148,100.52102,Entire home/apt,1000,3,21,7,145,True,False,False,False,Low,20,2,2019
46,☞✪✪✪✪Roomy Studio 4 Family r friends✪No Stairs✪✪✪✪,Evan From Sanctuary House,Sathon,13.72073,100.5469,Entire home/apt,1450,1,268,8,350,True,False,False,False,Medium,15,12,2022
47,☞Downtown Central Studio-Bangkok MRT,Evan From Sanctuary House,Sathon,13.72063,100.54694,Entire home/apt,1200,1,310,8,331,True,False,False,False,Medium,11,12,2022
48,Beautiful Wood Bangkok Resort House,Narumon,Nong Chok,13.779,100.83671,Entire home/apt,8658,1,0,1,363,True,False,False,False,High,11,12,2022
49,"""Serviced 2 Bed Scenic SkyVillas""",Salvatore,Sathon,13.72096,100.52911,Entire home/apt,3757,2,118,7,134,True,False,False,False,High,30,11,2022
50,Cozy 1BR rooftop (BTS Ploenchit) heart of bangkok,Pichanee,Khlong Toei,13.73782,100.55179,Entire home/apt,1490,5,11,1,16,True,False,False,False,Medium,2,7,2018
52,Sukhumvit52 near SkyTrain to BkkCBD,Vajirune,Phra Khanong,13.70169,100.5977,Private room,2251,3,0,1,365,False,False,True,False,High,11,12,2022
53,"♡Chic Studio, Easy Walk to Pier & BTS Taksin♡",Bee,Sathon,13.71192,100.51535,Entire home/apt,866,2,472,7,320,True,False,False,False,Low,15,12,2022
54,One Bedroom Suite- WIFI- SATHORN,Marvin,Sathon,13.71602,100.52663,Private room,2696,1,0,3,356,False,False,True,False,High,11,12,2022
55,STUDIO RM2 - WIFI- SATHORN,Marvin,Sathon,13.71798,100.52841,Private room,1736,1,4,3,356,False,False,True,False,Medium,12,11,2014
56,Quiet Double  Bed Apartment,Primrose,Thawi Watthana,13.79274,100.33377,Private room,1800,2,1,3,242,False,False,True,False,Medium,25,10,2022
57,Quiet Double Bed Apartment,Primrose,Thawi Watthana,13.79315,100.33356,Private room,1800,2,0,3,256,False,False,True,False,Medium,11,12,2022
58,Suvarnabhumi free transfer,Luckana,Lat Krabang,13.72141,100.72946,Entire home/apt,1558,1,43,2,365,True,False,False,False,Medium,3,3,2020
62,One Bed Room at Sukumvit 50 Bangkok,Nichapat,Khlong Toei,13.71513,100.5683,Private room,2226,1,0,1,364,False,False,True,False,High,11,12,2022
63,"City View, relaxed theme & delicious food around",Nicky,Bang Kho laen,13.69947,100.52726,Entire home/apt,890,2,29,6,59,True,False,False,False,Low,18,12,2022
66,"NewlyRenovated! 3Br,SingleHouse, Park/BTS/Airport.",Piya,Pra Wet,13.70004,100.6787,Entire home/apt,3394,5,3,8,180,True,False,False,False,High,28,11,2022
67,"IdeoMix, Sukhumvit RD, close to BTS",Piya,Bang Na,13.67991,100.61055,Entire home/apt,922,14,170,1,219,True,False,False,False,Low,5,12,2022
68,Mix Dorm  Decor do Hostel,Somsak,Khlong San,13.72214,100.50752,Shared room,350,1,12,10,87,False,False,False,True,Low,8,2,2020
70,5 mins by car from Chong Nonsi BTS Station,Mimi,Sathon,13.71498,100.53312,Private room,1543,1,40,4,149,False,False,True,False,Medium,9,12,2022
71,Inn Saladaeng - Superior hotel room,Inn Saladaeng & The Sathon Vimanda,Bang Rak,13.72825,100.53774,Entire home/apt,1589,1,36,2,176,True,False,False,False,Medium,1,9,2022
72,"Best nr Chatujak, MRT, BTS free wifi&fNetflix",Nokiko,Chatu Chak,13.81694,100.56451,Entire home/apt,1271,1,293,1,129,True,False,False,False,Medium,6,12,2022
73,❂Citycenter✔Subway station✔Private Bathroom4Aircon,Evan,Sathon,13.72062,100.54707,Entire home/apt,800,1,396,37,361,True,False,False,False,Low,30,4,2020
74,Nice River View Condominium 30 sq.m,Chanvit,Rat Burana,13.68426,100.49841,Private room,1558,1,0,1,365,False,False,True,False,Medium,11,12,2022
76,Sukhumvit apartment near Nana BTS,Hollis,Khlong Toei,13.74052,100.55237,Entire home/apt,797,1,189,1,230,True,False,False,False,Low,28,11,2022
77,A room w/ the view :-) in the city,Vichit,Vadhana,13.71012,100.60281,Entire home/apt,6926,1,1,1,364,True,False,False,False,High,13,1,2019
78,Spacious 1Bed apartment,Tisa,Huai Khwang,13.75224,100.58979,Entire home/apt,1169,15,0,1,180,True,False,False,False,Medium,11,12,2022
79,Near Bangkok more space than urban!,Sugarcane,Phra Nakhon,13.75135,100.49447,Shared room,5195,1,0,1,365,False,False,False,True,High,11,12,2022
80,✺✺99 feet in the sky✺✺,Evan,Sathon,13.72062,100.54707,Entire home/apt,829,1,430,37,334,True,False,False,False,Low,1,10,2022
81,Cozy Studio Apt near Skytrain.(72/74),Tor,Sathon,13.71782,100.51622,Private room,950,1,39,7,301,False,False,True,False,Low,1,10,2022
84,"Private, relaxed with amenities",Nicky,Bang Kho laen,13.69949,100.52725,Entire home/apt,980,2,18,6,75,True,False,False,False,Low,26,11,2022
85,S1 hostel (Dorm) Sathorn Bangkok,S1,Sathon,13.72157,100.54509,Shared room,330,1,82,3,358,False,False,False,True,Low,9,12,2019
86,3 minutes walk to Phrom Phong BTS,Amporn,Vadhana,13.73675,100.57191,Entire home/apt,3740,7,18,1,44,True,False,False,False,High,14,9,2022
87,1 BDM CONDO SAPHAN KWAI/ARI walk to JJ/BTS/MRT,Chris And Lek,Phaya Thai,13.79128,100.54935,Entire home/apt,1000,5,29,1,145,True,False,False,False,Low,1,9,2022
88,เฮ้าส์โหมด House Mode,Prapussorn,Thon buri,13.72646255738608,100.49129336748284,Private room,800,1,0,1,365,False,False,True,False,Low,11,12,2022
89,❂100% Private&Central Light EnSuite,Evan,Sathon,13.72062,100.54707,Entire home/apt,800,1,325,37,358,True,False,False,False,Low,14,3,2020
93,BKK City Fab Luxx Studio free wifi @1194,Wimonpak,Bang Kho laen,13.698,100.52886,Entire home/apt,790,1,127,41,365,True,False,False,False,Low,14,12,2022
95,"6. Bangkok nice, cosy Apartment 201",Wimonpak,Bang Kho laen,13.69925,100.52624,Entire home/apt,890,1,48,41,346,True,False,False,False,Low,13,11,2022
97,STUDIO-WIFI-RAIN SHOWER-SATHORN,Marvin,Sathon,13.71922,100.5255,Private room,1736,1,14,3,356,False,False,True,False,Medium,23,2,2017
98,Luxury Riverview Teakwood Apartment-Great Views :),Maam & Hermann,Yan na wa,13.67317,100.54406,Hotel room,1558,2,120,1,361,False,True,False,False,Medium,28,2,2020
100,River Side Luxury View,Jahidul,Yan na wa,13.70497,100.55134,Private room,2500,1,0,1,364,False,False,True,False,High,11,12,2022
101,BKK Center Fab studio1150 free wifi,Wimonpak,Bang Kho laen,13.69832,100.52434,Entire home/apt,929,1,60,41,162,True,False,False,False,Low,30,10,2022
102,Loft by the Church w kitchen/wifi near Sathon,Wimonpak,Bang Kho laen,13.70218,100.52254,Entire home/apt,670,2,38,41,347,True,False,False,False,Low,31,3,2018
